ParticipantID,Start,StopVideo,AnswerTime,ConfidenceTime,SeatPos,Interface,Stimulus,Answer,Confidence
1,69102732.2631,69113266.92,69113382.451,69119599.5291,Front,WideAngle,1,14,4
1,69122858.0844,69132202.3724,69134862.1963,69138353.1964,Front,WideAngle,2,19,3
1,69142577.7008,69152484.2255,69155122.7739,69157749.7323,Front,WideAngle,4,22,2
1,69170777.1231,69181188.9337,69184604.889,69186667.9462,Front,WideAngle,25,25,4
